TARGETID,Z,LOGMSTAR,HALPHA_FLUX,HALPHA_BD
39633524529040804,0.1483258981,10.204238,137.81479,3.4549344
39633493637991514,0.4056529338,10.302532,123.29527,5.0703068
39627568801908164,0.2619940368,10.015761,140.49898,5.2405767
39627967617305305,0.4497540277,10.328082,106.89611,4.7660379
39633232341240075,0.4427752016,10.923509,55.530548,5.290494
39627797144014217,0.2296576526,10.001462,108.86131,3.5493047
39628200896104784,0.2204655938,9.4195261,52.070618,2.9910493
39628298006824640,0.1003260327,9.263732,52.423492,3.5778153
39627583217734738,0.1880633688,9.6402187,282.53793,4.1645665
39636394007597138,0.3731074345,10.633954,150.13069,3.8636537
39627959287417943,0.2049851744,9.4407291,100.22649,3.158659
39628166095969943,0.2923832875,10.350064,57.158566,4.0603251
39633005542640375,0.1865478045,9.76021,113.83308,4.1754651
39627791179717420,0.07893183743,8.5165548,108.22994,2.8884594
39628341430457403,0.1366650686,9.1719923,253.26418,3.1056619
39628172064458617,0.4637397923,10.394454,152.00616,5.4307103
39633196299583885,0.1983192961,10.63885,47.961407,3.8299608
39633240432050340,0.04605714875,9.0692282,223.33853,2.8599999
39633252431955776,0.2763641202,10.488401,52.859928,3.0155761
39627833156306910,0.2186747123,10.4737,76.606369,4.3076243
39633251546955980,0.1944321737,9.6749182,47.387539,3.4065247
39633530749193829,0.1226500462,10.283753,357.74527,4.3837118
39633427363791669,0.1105132641,8.7342949,94.305168,2.8599999
39627598967345566,0.09377815246,9.6168747,119.62608,3.7144544
39628090829177286,0.1164838518,9.2618828,662.28522,3.4080555
39628060324009813,0.2299854983,10.958805,233.31563,4.9619031
39632934923142227,0.2669032182,9.920188,79.816086,4.684485
39627986323899576,0.2741743507,9.9139872,62.368519,4.1085296
39627995073220258,0.03995431306,8.8040686,76.687721,3.0816865
39627795009116290,0.2131912055,9.691577,93.871315,3.8120918
39628228465266765,0.2772379501,9.9365568,99.675491,3.7626376
39627729636692885,0.4023977155,10.219571,219.95294,4.0718298
39628492232460401,0.1394220953,9.6176157,277.42322,3.7648072
39633113034263604,0.2320338973,9.8114777,98.833679,3.4964764
39627873140605706,0.07985523164,8.1732569,83.427025,2.8599999
39633410003568402,0.2547274952,9.9884005,120.94007,3.7104366
39627784477213715,0.2739107213,10.149069,70.929604,3.8002558
39628182583777733,0.1099332162,9.2784643,77.668945,3.9446585
39628460884231480,0.2240892188,9.4050779,132.52493,3.4053102
39632951612278985,0.2905778464,9.710516,100.29129,3.3785625
39627999313663055,0.3656688985,10.941897,96.674484,5.4587369
39633150053188631,0.1899645582,9.499341,87.471268,3.886858
39627721063534448,0.2973835704,9.7754993,72.20649,4.1707487
39633259788765058,0.1944146621,9.9071722,55.791485,4.0813928
39627731280856016,0.1111052344,9.4140425,68.484322,2.8599999
39633208404346998,0.13531442,9.4107819,74.915474,3.4025805
39632956674801948,0.1283184082,9.8383579,87.89138,6.6688643
39633472125404508,0.3136381423,10.13247,89.028427,3.8254473
39628250963514718,0.1974618631,9.7376213,185.68271,3.8193424
39628123691550654,0.2218253039,9.8981104,140.56833,3.498234
39633509077221882,0.1901939213,9.4116507,82.332191,3.1612911
39633402638372219,0.2384462946,10.007185,70.933144,3.7204535
39633297369729388,0.2744252786,9.6453085,47.08548,2.8599999
39627961678171102,0.2661898457,10.1459,136.58252,3.7140777
39627915687626298,0.06713283739,9.7252722,395.03403,3.6800334
39628036647158319,0.2289746234,9.7552691,53.145924,3.7771504
39627903536732514,0.2260710876,9.5396681,348.13837,3.9614186
39627642843960664,0.1519544869,9.8627996,232.21191,5.1847391
39633314499267102,0.4107464125,11.02788,31.352556,5.5095563
39627666252367578,0.08769945944,8.6048326,63.313759,2.9703243
39627740382496887,0.1211751092,9.319212,90.731949,3.8787999
39633162241835937,0.126621331,9.2346001,96.230034,3.0080853
39633355624415580,0.1052616531,9.1633635,111.94927,3.4941931
39627851221178475,0.3551148561,10.187058,125.35004,4.5696902
39627940903786218,0.2374345382,10.546471,83.166084,4.2056341
39627989847115511,0.08947068916,9.0857124,87.191574,3.0555711
39628245871628050,0.1682568141,9.7452888,76.950394,3.3800535
39627866979174557,0.1692192973,9.278492,313.54538,3.2842772
39633374834327979,0.1766075235,9.663146,56.742325,3.0852242
39627908842525260,0.08294421626,9.4275198,139.40654,4.1913342
39627927691727627,0.1520097328,9.6220255,78.139397,3.9382873
39627648749537114,0.2720260643,9.617754,370.69543,3.2979624
39628172697800779,0.1553208908,9.6923752,64.410378,3.8284254
39628054300985934,0.1721020202,9.6580429,111.19559,3.9684689
39633412906026495,0.1669111086,9.76577,151.58022,3.6944809
39627923342231379,0.1686722471,9.0823669,36.371944,2.8599999
39633118453302925,0.3919175318,10.452821,38.525715,4.4104319
39633016082926947,0.1457902301,9.5951929,97.576378,5.2603121
39628022898230550,0.2064969111,10.311351,148.29333,5.0395474
39627812063155626,0.1858582978,10.046165,110.6223,3.7069538
39628058973439921,0.3952104017,10.104193,92.444458,3.6749191
39627678784950286,0.2461866354,9.8428326,36.064472,4.038867
39628112480175456,0.08269326101,9.3072481,74.218224,4.1574268
39633081753142506,0.3804312728,10.606871,59.150005,6.2694111
39633369096522058,0.1791286001,9.4804239,47.213524,3.5313046
